Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Australia and Oceania,Mexico,Cereal,Offline,C,08/05/2017,894606105,08/21/2017,6768,260.45,159.19,1762725.6,1077397.92,685327.68
Middle East and North Africa,Japan,Clothes,Offline,H,06/22/2015,830478127,06/30/2015,11820,363.03,224.16,4291014.6,2649571.2,1641443.4
Sub-Saharan Africa,Kenya,Meat,Online,L,11/03/2011,774987194,11/26/2011,9230,664.37,429.29,6132135.1,3962346.7,2169788.4
Central America and the Caribbean,USA,Beverages,Offline,M,02/11/2010,730023451,03/13/2010,11106,561.93,360.33,6240794.58,4001824.98,2238969.6
Sub-Saharan Africa,USA,Beverages,Offline,L,12/22/2015,117365771,01/17/2016,7481,324.95,197.73,2430950.95,1479218.13,951732.82
Central America and the Caribbean,USA,Household,Offline,M,11/26/2021,820734700,12/19/2021,11421,94.88,57.33,1083624.48,654765.93,428858.55
Asia,USA,Meat,Online,L,06/11/2014,430986569,06/18/2014,7610,565.04,361.92,4299954.4,2754211.2,1545743.2
North America,Kenya,Office Supplies,Offline,M,11/02/2019,920668844,11/07/2019,293,318.73,218.31,93387.89,63964.83,29423.06
Asia,Germany,Office Supplies,Offline,C,06/05/2015,988768269,06/25/2015,10390,82.02,60.86,852187.8,632335.4,219852.4
Asia,Brazil,Clothes,Online,L,07/06/2010,953729195,07/27/2010,2762,155.83,109.01,430402.46,301085.62,129316.84
Middle East and North Africa,Australia,Cereal,Offline,L,07/29/2010,818420424,08/03/2010,10637,316.36,278.99,3365121.32,2967616.63,397504.69
Europe,USA,Personal Care,Online,L,02/22/2023,837983744,03/13/2023,11195,671.26,423.22,7514755.7,4737947.9,2776807.8
Central America and the Caribbean,France,Baby Food,Online,M,01/16/2021,556698045,02/04/2021,9086,667.78,429.81,6067449.08,3905253.66,2162195.42
Australia and Oceania,Japan,Vegetables,Offline,C,10/23/2020,602642744,11/19/2020,9448,415.94,322.44,3929801.12,3046413.12,883388
Asia,France,Meat,Offline,M,09/26/2012,857047800,10/18/2012,1116,619.72,485.76,691607.52,542108.16,149499.36
Middle East and North Africa,UAE,Beverages,Offline,M,01/11/2023,544118667,02/03/2023,5932,570.75,353.57,3385689,2097377.24,1288311.76
Sub-Saharan Africa,UAE,Personal Care,Online,C,12/08/2019,852142794,12/26/2019,6054,644.78,441.65,3903498.12,2673749.1,1229749.02
Central America and the Caribbean,France,Snacks,Offline,H,05/28/2017,456508577,06/13/2017,10458,32.37,23.09,338525.46,241475.22,97050.24
Asia,Japan,Cereal,Offline,H,11/18/2018,979049740,12/01/2018,5494,388.79,295.64,2136012.26,1624246.16,511766.1
Middle East and North Africa,Kenya,Meat,Offline,H,02/14/2017,257763711,03/09/2017,6251,91.35,78.67,571028.85,491766.17,79262.68
Europe,Kenya,Fruits,Online,C,11/24/2016,760769818,12/10/2016,7492,525.27,425.7,3935322.84,3189344.4,745978.44
Europe,USA,Meat,Online,M,06/23/2010,310383011,07/20/2010,3314,662.75,444.18,2196353.5,1472012.52,724340.98
Middle East and North Africa,India,Vegetables,Offline,L,04/03/2015,522706783,04/10/2015,224,99.07,78.32,22191.68,17543.68,4648
North America,Germany,Baby Food,Online,H,05/13/2017,464191350,06/06/2017,6678,153.69,97.1,1026341.82,648433.8,377908.02
Europe,USA,Meat,Offline,M,05/16/2020,278967042,05/19/2020,987,467.61,287.22,461531.07,283486.14,178044.93
North America,Mexico,Cosmetics,Online,L,01/27/2021,835632894,02/13/2021,8693,431.5,343.75,3751029.5,2988218.75,762810.75
Asia,France,Cosmetics,Online,L,06/09/2016,206103960,06/16/2016,544,588.09,444.09,319920.96,241584.96,78336
Asia,USA,Vegetables,Online,C,08/21/2010,575271298,08/22/2010,1485,445.18,273.72,661092.3,406474.2,254618.1
Australia and Oceania,Japan,Vegetables,Online,M,03/28/2023,310558067,04/18/2023,882,404.33,353.71,356619.06,311972.22,44646.84
Middle East and North Africa,USA,Personal Care,Offline,M,03/06/2013,929859894,03/22/2013,5573,151.25,119.21,842916.25,664357.33,178558.92
Middle East and North Africa,Mexico,Personal Care,Online,C,02/03/2010,879860763,02/15/2010,3858,695.53,507.38,2683354.74,1957472.04,725882.7
Asia,Brazil,Personal Care,Offline,H,09/28/2018,832546158,10/26/2018,398,505.78,395.3,201300.44,157329.4,43971.04
Middle East and North Africa,India,Beverages,Online,L,02/07/2021,187262349,03/07/2021,492,309.01,262.38,152032.92,129090.96,22941.96
North America,USA,Snacks,Online,L,08/28/2010,848732649,09/07/2010,7917,315.08,200.12,2494488.36,1584350.04,910138.32
Asia,Mexico,Clothes,Offline,C,04/28/2010,276066595,05/13/2010,9829,505.08,447.28,4964431.32,4396315.12,568116.2
Middle East and North Africa,Brazil,Beverages,Online,H,03/02/2014,996085473,04/01/2014,5778,527.04,361.25,3045237.12,2087302.5,957934.62
Europe,USA,Personal Care,Offline,M,03/30/2021,553934984,04/16/2021,4214,116.14,101.4,489413.96,427299.6,62114.36
North America,Mexico,Cosmetics,Offline,H,05/29/2023,327229887,06/11/2023,4921,249.01,152.57,1225378.21,750796.97,474581.24
Europe,Australia,Office Supplies,Online,L,12/20/2012,529341638,01/09/2013,6941,483.86,378.92,3358472.26,2630083.72,728388.54
Australia and Oceania,Kenya,Cereal,Online,H,01/11/2013,116266380,01/24/2013,9708,31.42,27.89,305025.36,270756.12,34269.24
Asia,India,Beverages,Online,L,12/18/2020,860154510,01/03/2021,112,197.77,173.8,22150.24,19465.6,2684.64
Australia and Oceania,USA,Cereal,Online,H,01/07/2019,576750989,01/24/2019,9931,55.73,43.92,553454.63,436169.52,117285.11
Sub-Saharan Africa,Japan,Personal Care,Online,L,10/04/2015,934659869,10/24/2015,8950,295.38,196.42,2643651,1757959,885692
Australia and Oceania,Germany,Clothes,Online,M,05/30/2014,163315770,06/07/2014,2080,511.59,411.86,1064107.2,856668.8,207438.4
Middle East and North Africa,Germany,Cereal,Online,L,11/05/2018,667674942,11/12/2018,892,694.29,423.48,619306.68,377744.16,241562.52
Sub-Saharan Africa,Japan,Clothes,Offline,C,05/07/2015,884743207,05/23/2015,5079,694.32,564.12,3526451.28,2865165.48,661285.8
Middle East and North Africa,USA,Office Supplies,Online,H,04/02/2019,277340426,04/27/2019,8536,237.8,145.47,2029860.8,1241731.92,788128.88
Middle East and North Africa,Brazil,Beverages,Offline,L,12/12/2017,891447476,12/21/2017,7992,377.09,338.95,3013703.28,2708888.4,304814.88
North America,Germany,Snacks,Offline,H,03/13/2010,172352742,03/14/2010,11379,185.96,134.84,2116038.84,1534344.36,581694.48
Middle East and North Africa,USA,Baby Food,Offline,L,11/17/2021,606527150,12/16/2021,8969,374.74,278.76,3361043.06,2500198.44,860844.62
Europe,UAE,Cosmetics,Offline,L,10/18/2010,137336910,11/17/2010,1750,530.46,419.59,928305,734282.5,194022.5
Europe,Australia,Meat,Online,M,05/19/2017,957984087,06/17/2017,8684,663.1,513.88,5758360.4,4462533.92,1295826.48
North America,Mexico,Vegetables,Offline,H,09/29/2015,970278139,10/27/2015,3775,254.45,197.9,960548.75,747072.5,213476.25
Central America and the Caribbean,Germany,Personal Care,Offline,H,01/27/2016,801699119,02/14/2016,8685,280.12,193.17,2432842.2,1677681.45,755160.75
Central America and the Caribbean,Australia,Cosmetics,Offline,M,08/14/2013,957834860,08/15/2013,2865,309.38,198.9,886373.7,569848.5,316525.2
Asia,Mexico,Office Supplies,Online,C,07/11/2023,607324720,07/14/2023,5520,149.19,105.02,823528.8,579710.4,243818.4
North America,Australia,Vegetables,Online,C,05/11/2014,330230511,05/16/2014,817,173.8,135.95,141994.6,111071.15,30923.45
Australia and Oceania,UAE,Household,Online,H,03/02/2023,771017670,03/18/2023,6610,696.66,470.1,4604922.6,3107361,1497561.6
Australia and Oceania,Brazil,Baby Food,Offline,M,11/16/2016,691983560,12/05/2016,478,269.29,197.56,128720.62,94433.68,34286.94
Europe,Mexico,Household,Online,C,01/17/2012,397983900,01/24/2012,7434,260.95,167.4,1939902.3,1244451.6,695450.7
Australia and Oceania,India,Baby Food,Offline,M,01/13/2012,297025390,02/01/2012,10583,329.16,293.43,3483500.28,3105369.69,378130.59
Central America and the Caribbean,France,Household,Offline,M,07/28/2020,987859152,08/08/2020,2809,601.52,376.09,1689669.68,1056436.81,633232.87
Middle East and North Africa,UAE,Snacks,Offline,M,02/04/2019,149700900,02/19/2019,3988,307.27,208.79,1225392.76,832654.52,392738.24
North America,UAE,Office Supplies,Offline,L,11/08/2010,608338377,11/26/2010,5209,670.82,435.75,3494301.38,2269821.75,1224479.63
Asia,Kenya,Clothes,Online,M,07/04/2012,387185883,08/03/2012,1043,409.19,281.25,426785.17,293343.75,133441.42
Middle East and North Africa,France,Fruits,Offline,H,05/14/2011,465339902,05/21/2011,5671,17.65,13.63,100093.15,77295.73,22797.42
Australia and Oceania,India,Household,Online,H,03/27/2018,924590666,04/22/2018,6806,558.97,484.53,3804349.82,3297711.18,506638.64
Europe,Australia,Snacks,Offline,L,07/20/2012,771614838,08/07/2012,3467,66.51,45.62,230590.17,158164.54,72425.63
Europe,Australia,Personal Care,Online,M,11/04/2020,897046175,11/24/2020,8734,304.57,225.01,2660114.38,1965237.34,694877.04
Australia and Oceania,France,Fruits,Online,C,05/03/2023,517136205,05/28/2023,3437,350.54,288.24,1204805.98,990680.88,214125.1
Australia and Oceania,Germany,Meat,Online,L,07/15/2023,305563984,08/10/2023,1036,517.95,373.05,536596.2,386479.8,150116.4
Asia,Mexico,Cosmetics,Online,L,09/25/2019,850284674,10/15/2019,4846,79.47,63.06,385111.62,305588.76,79522.86
Asia,Germany,Office Supplies,Online,H,12/07/2010,820281034,12/31/2010,11718,338.43,212.66,3965722.74,2491949.88,1473772.86
Europe,Brazil,Meat,Offline,M,03/04/2010,261256608,03/17/2010,4889,449.47,297.59,2197458.83,1454917.51,742541.32
Central America and the Caribbean,Australia,Snacks,Offline,H,06/28/2015,541542352,07/02/2015,11865,264.61,213.66,3139597.65,2535075.9,604521.75
Middle East and North Africa,Australia,Beverages,Online,C,05/02/2020,993673490,05/09/2020,5034,463.1,328.8,2331245.4,1655179.2,676066.2
Europe,Mexico,Vegetables,Online,H,03/21/2020,315821343,04/20/2020,11278,548.02,411.59,6180569.56,4641912.02,1538657.54
Australia and Oceania,Germany,Baby Food,Offline,H,07/30/2011,262540322,08/16/2011,7990,491.09,344.14,3923809.1,2749678.6,1174130.5
Central America and the Caribbean,Japan,Household,Online,L,04/25/2014,213246434,05/02/2014,10110,133.1,95.68,1345641,967324.8,378316.2
Australia and Oceania,UAE,Fruits,Offline,L,06/26/2019,369034129,07/17/2019,7859,332.41,289.95,2612410.19,2278717.05,333693.14
Europe,USA,Baby Food,Offline,H,07/23/2014,664818925,08/09/2014,7405,643.94,481.56,4768375.7,3565951.8,1202423.9
Middle East and North Africa,USA,Clothes,Online,M,12/20/2010,653515753,01/19/2011,10312,310.44,190.87,3201257.28,1968251.44,1233005.84
Central America and the Caribbean,UAE,Beverages,Offline,C,04/30/2022,958314659,05/03/2022,715,238.85,201.04,170777.75,143743.6,27034.15
Sub-Saharan Africa,Japan,Vegetables,Online,H,02/22/2018,985109947,02/23/2018,5918,450.23,335.29,2664461.14,1984246.22,680214.92
Australia and Oceania,USA,Fruits,Offline,H,12/08/2013,564657236,12/21/2013,1808,454.17,401.71,821139.36,726291.68,94847.68
Central America and the Caribbean,Kenya,Office Supplies,Online,M,07/03/2018,655002750,07/06/2018,5592,581.96,388.82,3254320.32,2174281.44,1080038.88
Asia,Australia,Cereal,Offline,L,02/09/2020,934476536,02/27/2020,3158,103.31,74.48,326252.98,235207.84,91045.14
Europe,USA,Baby Food,Online,C,07/16/2012,413247837,07/17/2012,2592,318.3,229.21,825033.6,594112.32,230921.28
Middle East and North Africa,India,Cosmetics,Offline,C,07/01/2017,177046040,07/04/2017,9697,66.15,49.34,641456.55,478449.98,163006.57
Middle East and North Africa,Australia,Beverages,Online,L,05/07/2018,130237644,05/08/2018,3681,503.05,431.29,1851727.05,1587578.49,264148.56
Europe,USA,Personal Care,Offline,H,04/29/2020,350762792,05/08/2020,3681,331.3,250,1219515.3,920250,299265.3
Sub-Saharan Africa,Japan,Household,Online,C,01/17/2014,936214129,02/11/2014,6778,214.81,189.88,1455982.18,1287006.64,168975.54
Central America and the Caribbean,UAE,Fruits,Online,L,11/05/2015,913100351,11/10/2015,6346,324.73,257.8,2060736.58,1635998.8,424737.78
Central America and the Caribbean,Kenya,Snacks,Online,L,05/19/2010,528081638,06/03/2010,3568,415.99,340.64,1484252.32,1215403.52,268848.8
North America,UAE,Household,Online,M,01/28/2020,685517216,01/29/2020,7401,264,191.48,1953864,1417143.48,536720.52
Middle East and North Africa,UAE,Household,Online,L,03/26/2020,628369993,03/29/2020,7860,171.87,133.09,1350898.2,1046087.4,304810.8
Sub-Saharan Africa,Australia,Household,Offline,M,12/23/2016,842168209,12/26/2016,4974,419.49,292.97,2086543.26,1457232.78,629310.48
Australia and Oceania,Brazil,Office Supplies,Online,L,08/23/2018,641258752,09/08/2018,6606,524.68,406.35,3466036.08,2684348.1,781687.98
Europe,Australia,Meat,Offline,H,05/22/2015,120075035,05/29/2015,6629,546.78,479.52,3624604.62,3178738.08,445866.54
Central America and the Caribbean,France,Vegetables,Online,C,01/06/2020,326002440,02/03/2020,427,449.01,295.65,191727.27,126242.55,65484.72
Asia,UAE,Cereal,Offline,H,09/16/2018,304646584,10/09/2018,4193,324.61,240.07,1361089.73,1006613.51,354476.22
Asia,Australia,Meat,Offline,M,02/19/2012,877880516,03/20/2012,1927,263.08,187.3,506955.16,360927.1,146028.06
Europe,France,Beverages,Offline,H,01/25/2017,286386361,02/15/2017,5991,83.14,70.62,498091.74,423084.42,75007.32
Sub-Saharan Africa,UAE,Personal Care,Online,H,05/12/2010,632339039,06/04/2010,5020,101.47,79.68,509379.4,399993.6,109385.8
Central America and the Caribbean,UAE,Fruits,Online,M,11/17/2018,469217303,12/05/2018,7996,601.47,461.1,4809354.12,3686955.6,1122398.52
Australia and Oceania,Brazil,Snacks,Online,H,04/21/2023,617848979,05/04/2023,8944,597.73,373.92,5346097.12,3344340.48,2001756.64
Sub-Saharan Africa,Japan,Clothes,Offline,L,05/31/2019,666910816,06/27/2019,7765,543.95,473.04,4223771.75,3673155.6,550616.15
Middle East and North Africa,Kenya,Cosmetics,Online,M,01/10/2016,150921634,02/07/2016,1971,384.81,236.32,758460.51,465786.72,292673.79
Central America and the Caribbean,Brazil,Cereal,Online,L,01/01/2017,108727601,01/24/2017,7897,80.13,59.05,632786.61,466317.85,166468.76
Australia and Oceania,USA,Fruits,Online,H,01/27/2010,219781492,02/19/2010,414,641.01,477.99,265378.14,197887.86,67490.28
Australia and Oceania,India,Household,Offline,H,05/21/2016,988293378,05/30/2016,10746,28.18,22.28,302822.28,239420.88,63401.4
Central America and the Caribbean,Mexico,Household,Offline,L,04/27/2021,944748173,05/12/2021,2037,311.56,187.22,634647.72,381367.14,253280.58
Asia,India,Baby Food,Online,C,03/29/2019,668347627,04/21/2019,11803,8.06,6.49,95132.18,76601.47,18530.71
Central America and the Caribbean,France,Personal Care,Online,L,05/02/2013,977539384,05/10/2013,1335,188.49,139.73,251634.15,186539.55,65094.6
Middle East and North Africa,Brazil,Vegetables,Offline,L,01/20/2011,348261430,02/06/2011,9519,679.19,560.28,6465209.61,5333305.32,1131904.29
Middle East and North Africa,Brazil,Snacks,Offline,C,08/23/2010,437901786,09/17/2010,1347,285.24,194.92,384218.28,262557.24,121661.04
Central America and the Caribbean,Brazil,Clothes,Online,M,12/01/2015,507196813,12/29/2015,1534,165.48,147.16,253846.32,225743.44,28102.88
Australia and Oceania,USA,Fruits,Offline,C,09/20/2022,995902501,10/16/2022,8110,385.69,238.15,3127945.9,1931396.5,1196549.4
Sub-Saharan Africa,India,Clothes,Offline,H,02/28/2016,906650107,03/07/2016,6104,291.44,180.52,1778949.76,1101894.08,677055.68
Australia and Oceania,Brazil,Personal Care,Online,C,01/10/2014,189831433,01/26/2014,9209,499.88,418.74,4603394.92,3856176.66,747218.26
Sub-Saharan Africa,Germany,Cosmetics,Offline,M,10/30/2021,734718285,11/02/2021,8221,542.57,488.22,4460467.97,4013656.62,446811.35
Sub-Saharan Africa,Brazil,Cosmetics,Offline,H,09/05/2017,247135059,09/07/2017,2290,64.34,47.47,147338.6,108706.3,38632.3
Middle East and North Africa,Japan,Cosmetics,Online,H,10/14/2011,502772090,10/27/2011,2551,162.23,114.3,413848.73,291579.3,122269.43
Sub-Saharan Africa,Brazil,Meat,Online,H,12/20/2016,700395934,12/27/2016,4922,153.66,124.37,756314.52,612149.14,144165.38
Australia and Oceania,Germany,Baby Food,Online,H,02/15/2016,920827957,03/01/2016,2339,507.81,339.53,1187767.59,794160.67,393606.92
North America,Brazil,Vegetables,Online,M,11/26/2021,225885302,11/30/2021,11581,354.51,239.26,4105580.31,2770870.06,1334710.25
Central America and the Caribbean,Germany,Office Supplies,Offline,M,05/08/2019,987427128,05/28/2019,7140,400.97,252.43,2862925.8,1802350.2,1060575.6
Middle East and North Africa,France,Fruits,Offline,M,11/01/2010,496297264,11/24/2010,5686,86.07,65.9,489394.02,374707.4,114686.62
Central America and the Caribbean,UAE,Personal Care,Online,H,04/30/2023,511574550,05/27/2023,8850,560.72,403.3,4962372,3569205,1393167
Sub-Saharan Africa,Brazil,Meat,Offline,M,08/12/2015,101008840,08/19/2015,11075,102.8,86.49,1138510,957876.75,180633.25
Europe,India,Household,Online,C,01/22/2017,624816830,01/26/2017,712,110.76,85.97,78861.12,61210.64,17650.48
Asia,Australia,Cosmetics,Offline,M,07/21/2011,837009911,08/09/2011,9389,107.31,90.13,1007533.59,846230.57,161303.02
Sub-Saharan Africa,France,Meat,Offline,M,02/28/2015,182461303,03/08/2015,11274,678.71,577.54,7651776.54,6511185.96,1140590.58
Middle East and North Africa,Brazil,Snacks,Offline,H,03/11/2019,975721630,03/16/2019,2942,479.51,332.13,1410718.42,977126.46,433591.96
Central America and the Caribbean,India,Office Supplies,Offline,C,11/12/2016,708938327,11/30/2016,9353,375.89,293.02,3515699.17,2740616.06,775083.11
North America,India,Cereal,Online,M,02/10/2011,360467719,02/27/2011,4426,255.72,166.97,1131816.72,739009.22,392807.5
Middle East and North Africa,UAE,Office Supplies,Online,C,09/24/2019,985546150,10/09/2019,11833,527.96,337.78,6247350.68,3996950.74,2250399.94
Central America and the Caribbean,Germany,Baby Food,Offline,C,01/15/2019,415763216,01/17/2019,3916,575.44,373.3,2253423.04,1461842.8,791580.24
Asia,Australia,Vegetables,Offline,M,11/25/2016,576236546,12/07/2016,4687,341.09,253.68,1598688.83,1188998.16,409690.67
Europe,Germany,Cereal,Online,H,08/15/2022,881328446,09/03/2022,7155,259.59,223.93,1857366.45,1602219.15,255147.3
Central America and the Caribbean,UAE,Meat,Online,M,11/12/2013,573044166,11/16/2013,11871,508.66,388.3,6038302.86,4609509.3,1428793.56
Central America and the Caribbean,Kenya,Household,Offline,M,03/21/2013,481454205,04/02/2013,11234,443.33,358.95,4980369.22,4032444.3,947924.92
Central America and the Caribbean,Brazil,Fruits,Online,H,12/10/2020,986109500,12/16/2020,9962,217.89,135.94,2170620.18,1354234.28,816385.9
North America,France,Beverages,Online,M,02/24/2018,628937494,03/04/2018,4291,633,414.02,2716203,1776559.82,939643.18
North America,India,Cereal,Offline,M,01/11/2013,582743924,01/19/2013,11565,89.53,62.26,1035414.45,720036.9,315377.55
Middle East and North Africa,Brazil,Office Supplies,Online,M,05/07/2018,261556590,05/18/2018,5118,428.41,298.87,2192602.38,1529616.66,662985.72
Sub-Saharan Africa,Brazil,Fruits,Offline,M,02/09/2012,156710429,03/02/2012,11941,526.05,387.4,6281563.05,4625943.4,1655619.65
Europe,Mexico,Household,Online,H,08/11/2023,526352671,08/24/2023,4079,102.81,89.19,419361.99,363806.01,55555.98
North America,Kenya,Vegetables,Online,M,02/19/2021,192526495,03/14/2021,863,48.91,33.65,42209.33,29039.95,13169.38
Central America and the Caribbean,Australia,Personal Care,Offline,L,02/22/2014,829530215,03/05/2014,737,172.08,141.57,126822.96,104337.09,22485.87
Middle East and North Africa,Japan,Beverages,Offline,L,03/21/2018,519593524,04/02/2018,2814,665.85,498.06,1873701.9,1401540.84,472161.06
Sub-Saharan Africa,Australia,Vegetables,Offline,C,12/10/2017,121128628,12/12/2017,6467,682.19,553.88,4411722.73,3581941.96,829780.77
North America,Japan,Household,Online,M,02/24/2014,422659819,02/28/2014,5657,279,182.88,1578303,1034552.16,543750.84
Australia and Oceania,UAE,Vegetables,Online,H,08/27/2010,124335161,09/11/2010,2724,47.66,29.37,129825.84,80003.88,49821.96
Europe,France,Office Supplies,Online,C,06/02/2016,640146572,06/06/2016,3719,579.2,504.68,2154044.8,1876904.92,277139.88
Middle East and North Africa,Australia,Personal Care,Online,L,06/28/2021,297619830,07/14/2021,7039,318.17,227.69,2239598.63,1602709.91,636888.72
